Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,537.50,25,21.5,-1.9534883720930312
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,40.26,2,20.13,-1.9870839542970622
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,"3,750",150,25.0,-2.0
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,625,25,25.0,-2.0
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,"3,908.30",187,20.9,-2.009569377990422
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,250",50,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,250",50,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,625,25,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,625,25,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,125,5,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,125,5,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,625,25,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,125,5,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,175,7,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,625,25,25.0,-2.0400000000000063
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,375,15,25.0,-2.0400000000000063
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"1,250",50,25.0,-2.0799999999999983
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"1,250",50,25.0,-2.0799999999999983
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"2,500",100,25.0,-2.0799999999999983
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,"1,914.25",95,20.15,-2.0843672456575595
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"1,056",50,21.12,-2.1306818181818143
Masterworks 034,Christopher Wool,Untitled (S77),19.67,-1.7%,03/31/22,502.50,25,20.1,-2.139303482587063
Masterworks 020,Gunther Forg,Untitled,19.58,-2.1%,03/31/22,"2,221.11",111,20.01,-2.1489255372314005
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,570,25,22.8,-2.280701754385963
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"1,140",50,22.8,-2.280701754385963
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,228,10,22.8,-2.280701754385963
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,"1,005",50,20.1,-2.3383084577114546
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,502.50,25,20.1,-2.3383084577114546
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,130,5,26.0,-2.346153846153844
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"1,300",50,26.0,-2.346153846153844
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,"2,150",100,21.5,-2.3720930232558213
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,635.19,31,20.49,-2.391410444119075
Masterworks 060,Chu Teh-Chun,Atmosphere Hivernale,20.0,0,0,963.03,47,20.49,-2.391410444119075
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,137.50,5,27.5,-2.4000000000000004
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,419.80,20,20.99,-2.429728442115284
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,251,10,25.1,-2.430278884462163
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,307.50,15,20.5,-2.4390243902439024
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,105,5,21.0,-2.476190476190474
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,"1,050",50,21.0,-2.476190476190474
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,"1,050",50,21.0,-2.476190476190474
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,114.25,5,22.85,-2.4945295404814014
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"1,060.50",50,21.21,-2.545968882602542
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,215,10,21.5,-2.5581395348837246
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,315,15,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,147,7,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"2,100",100,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,105,5,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"5,250",250,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,210,10,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,525,25,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,147,7,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"10,500",500,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"5,250",250,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,105,5,21.0,-2.571428571428567
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"2,415",115,21.0,-2.571428571428567
Masterworks 034,Christopher Wool,Untitled (S77),19.67,-1.7%,03/31/22,808,40,20.2,-2.623762376237612
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,230,10,23.0,-2.652173913043476
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,115,5,23.0,-2.652173913043476
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,575,25,23.0,-2.652173913043476
Masterworks 039,Mark Bradford,Value 47,23.26,16.3%,03/31/22,360,15,24.0,-3.083333333333327
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,115,5,23.0,-3.130434782608691
Masterworks 033,Lucio Fontana,Concetto Spaziale,20.22,1.1%,03/31/22,313.50,15,20.9,-3.2535885167464107
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,"9,500",250,38.0,-3.263157894736848
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,636,30,21.2,-3.490566037735842
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,875,25,35.0,-3.5142857142857054
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,35,1,35.0,-3.5142857142857054
Masterworks 062,Gerhard Richter,Abstraktes Bild (908-8),20.0,0,0,"1,867.50",90,20.75,-3.614457831325301
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,"1,062.50",50,21.25,-3.623529411764704
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"3,000",125,24.0,-3.625000000000004
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"2,400",100,24.0,-3.625000000000004
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"1,008",42,24.0,-3.625000000000004
Masterworks 033,Lucio Fontana,Concetto Spaziale,20.22,1.1%,03/31/22,"5,145",245,21.0,-3.7142857142857197
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,106.25,5,21.25,-3.7176470588235255
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,102.95,5,20.59,-3.7396794560466224
Masterworks 019,Zao Wou-Ki,15.6.64,19.78,-1.1%,03/31/22,513.75,25,20.55,-3.7469586374695845
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,"2,050",100,20.5,-3.7560975609756078
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,139.50,5,27.9,-3.7992831541218597
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"10,750",500,21.5,-3.860465116279062
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,500,20,25.0,-4.079999999999998
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"5,000",200,25.0,-4.079999999999998
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"2,500",100,25.0,-4.079999999999998
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"1,250",50,25.0,-4.079999999999998
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,250,10,25.0,-4.079999999999998
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,200,8,25.0,-4.079999999999998
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"3,125",125,25.0,-4.079999999999998
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,109.95,5,21.99,-4.13824465666212
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,560,20,28.0,-4.142857142857143
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,220,10,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,110,5,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,110,5,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,110,5,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,220,10,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,110,5,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,220,10,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,"10,890",495,22.0,-4.18181818181819
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,550,25,22.0,-4.18181818181819
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,410,20,20.5,-4.243902439024396
Masterworks 023,Gunther Forg,Untitled,19.63,-1.9%,03/31/22,205,10,20.5,-4.243902439024396
Masterworks 019,Zao Wou-Ki,15.6.64,19.78,-1.1%,03/31/22,310.50,15,20.7,-4.444444444444436
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,124.95,5,24.99,-4.481792717086825
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,103.75,5,20.75,-4.4819277108433715
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,207.50,10,20.75,-4.4819277108433715
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,"1,000",40,25.0,-4.519999999999996
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,"6,250",250,25.0,-4.519999999999996
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,109.95,5,21.99,-4.638472032742154
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,104.90,5,20.98,-4.671115347950431
Masterworks 019,Zao Wou-Ki,15.6.64,19.78,-1.1%,03/31/22,103.75,5,20.75,-4.674698795180717
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,110,5,22.0,-4.681818181818187
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,"11,000",500,22.0,-4.681818181818187
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,550,25,22.0,-4.681818181818187
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,550,25,22.0,-4.681818181818187
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,109.90,5,21.98,-4.686078252957239
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,419.80,20,20.99,-4.716531681753209
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"1,574.25",75,20.99,-4.716531681753209
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,537.50,25,21.5,-4.744186046511626
Masterworks 062,Gerhard Richter,Abstraktes Bild (908-8),20.0,0,0,"1,575",75,21.0,-4.761904761904762
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,210,10,21.0,-4.761904761904762
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"3,150",150,21.0,-4.761904761904762
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,105,5,21.0,-4.761904761904762
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,735,35,21.0,-4.761904761904762
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"1,050",50,21.0,-4.761904761904762
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,210,10,21.0,-4.761904761904762
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,220,10,22.0,-4.772727272727276
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,110,5,22.0,-4.772727272727276
Masterworks 040,Adrian Ghenie,Lidless Eyes,19.73,-1.4%,03/31/22,103.75,5,20.75,-4.915662650602408
Masterworks 038,Yayoi Kusama,Pumpkin,21.74,8.7%,03/31/22,115,5,23.0,-5.478260869565224
Masterworks 009,Gunther Forg,Untitled,26.46,32.3%,03/31/22,"7,000",250,28.0,-5.499999999999997
Masterworks 019,Zao Wou-Ki,15.6.64,19.78,-1.1%,03/31/22,335.20,16,20.95,-5.584725536992831
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,808.50,33,24.5,-5.5918367346938815
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,525,25,21.0,-5.619047619047618
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,210,10,21.0,-5.619047619047618
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,"2,100",100,21.0,-5.619047619047618
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,460,20,23.0,-5.652173913043481
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,"1,300",50,26.0,-5.769230769230769
Masterworks 035,Alex Katz,Grey Ribbon,19.69,-1.6%,03/31/22,334.40,16,20.9,-5.789473684210514
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"3,250",125,26.0,-5.807692307692314
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,300",50,26.0,-5.807692307692314
Masterworks 019,Zao Wou-Ki,15.6.64,19.78,-1.1%,03/31/22,"5,145",245,21.0,-5.809523809523804
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,259.90,10,25.99,-5.809926894959593
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,142.50,5,28.5,-5.824561403508772
Masterworks 043,Keith Haring,Untitled,19.77,-1.2%,03/31/22,105,5,21.0,-5.857142857142859
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,217.50,10,21.75,-5.9310344827586166
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,109.95,5,21.99,-6.002728512960422
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,110,5,22.0,-6.045454545454538
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"5,500",250,22.0,-6.045454545454538
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,110,5,22.0,-6.045454545454538
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,550,25,22.0,-6.045454545454538
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,110,5,22.0,-6.045454545454538
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,330,15,22.0,-6.045454545454538
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,110,5,22.0,-6.045454545454538
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"2,200",100,22.0,-6.045454545454538
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,"7,350",350,21.0,-6.047619047619046
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,105,5,21.0,-6.047619047619046
Masterworks 040,Adrian Ghenie,Lidless Eyes,19.73,-1.4%,03/31/22,210,10,21.0,-6.047619047619046
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,105,5,21.0,-6.047619047619046
Masterworks 040,Adrian Ghenie,Lidless Eyes,19.73,-1.4%,03/31/22,105,5,21.0,-6.047619047619046
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,"1,567.50",75,20.9,-6.076555023923444
Masterworks 035,Alex Katz,Grey Ribbon,19.69,-1.6%,03/31/22,"1,260",60,21.0,-6.238095238095232
Masterworks 035,Alex Katz,Grey Ribbon,19.69,-1.6%,03/31/22,525,25,21.0,-6.238095238095232
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,112.45,5,22.49,-6.26945309026234
Masterworks 010,Sam Gilliam,Tracing,26.24,31.2%,03/31/22,140,5,28.0,-6.285714285714292
Masterworks 034,Christopher Wool,Untitled (S77),19.67,-1.7%,03/31/22,"1,575",75,21.0,-6.333333333333326
Masterworks 034,Christopher Wool,Untitled (S77),19.67,-1.7%,03/31/22,630,30,21.0,-6.333333333333326
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,320.85,15,21.39,-6.498363721365126
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,630,30,21.0,-6.523809523809529
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,105,5,21.0,-6.523809523809529
Masterworks 023,Gunther Forg,Untitled,19.63,-1.9%,03/31/22,"2,625",125,21.0,-6.523809523809529
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"6,000",250,24.0,-6.708333333333331
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"4,800",200,24.0,-6.708333333333331
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"12,000",500,24.0,-6.708333333333331
Masterworks 020,Gunther Forg,Untitled,19.58,-2.1%,03/31/22,126,6,21.0,-6.761904761904771
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"2,800",100,28.0,-6.821428571428571
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,"5,500",250,22.0,-6.909090909090907
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,110,5,22.0,-6.909090909090907
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,"1,100",50,22.0,-6.909090909090907
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,110,5,22.0,-6.909090909090907
Masterworks 039,Mark Bradford,Value 47,23.26,16.3%,03/31/22,625,25,25.0,-6.959999999999994
Masterworks 023,Gunther Forg,Untitled,19.63,-1.9%,03/31/22,527.50,25,21.1,-6.966824644549774
Masterworks 060,Chu Teh-Chun,Atmosphere Hivernale,20.0,0,0,107.50,5,21.5,-6.976744186046512
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,286,13,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"2,200",100,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,110,5,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"2,200",100,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,550,25,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"5,500",250,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"2,200",100,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,220,10,22.0,-6.9999999999999964
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,220,10,22.0,-6.9999999999999964
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,"3,000",125,24.0,-6.999999999999999
Masterworks 023,Gunther Forg,Untitled,19.63,-1.9%,03/31/22,"1,056",50,21.12,-7.054924242424251
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"1,200",50,24.0,-7.166666666666662
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,120,5,24.0,-7.166666666666662
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"15,000",500,30.0,-7.4333333333333345
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,30,1,30.0,-7.4333333333333345
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"7,500",250,30.0,-7.4333333333333345
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,150,5,30.0,-7.4333333333333345
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,"1,160",40,29.0,-7.448275862068966
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,625,25,25.0,-7.480000000000003
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,375,15,25.0,-7.480000000000003
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,250,10,25.0,-7.480000000000003
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"3,125",125,25.0,-7.480000000000003
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,625,25,25.0,-7.480000000000003
Masterworks 040,Adrian Ghenie,Lidless Eyes,19.73,-1.4%,03/31/22,748.65,35,21.39,-7.760635811126695
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"1,300",50,26.0,-7.769230769230767
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,434,20,21.7,-7.834101382488476
Masterworks 033,Lucio Fontana,Concetto Spaziale,20.22,1.1%,03/31/22,220,10,22.0,-8.090909090909095
Masterworks 033,Lucio Fontana,Concetto Spaziale,20.22,1.1%,03/31/22,550,25,22.0,-8.090909090909095
Masterworks 033,Lucio Fontana,Concetto Spaziale,20.22,1.1%,03/31/22,"5,500",250,22.0,-8.090909090909095
Masterworks 033,Lucio Fontana,Concetto Spaziale,20.22,1.1%,03/31/22,220,10,22.0,-8.090909090909095
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,112.50,5,22.5,-8.133333333333326
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,114.90,5,22.98,-8.26805918189731
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,460,20,23.0,-8.347826086956529
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,230,10,23.0,-8.347826086956529
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,460,20,23.0,-8.347826086956529
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,185,5,37.0,-8.729729729729721
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,230,10,23.0,-8.739130434782616
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,"1,033.20",45,22.96,-8.75435540069687
Masterworks 009,Gunther Forg,Untitled,26.46,32.3%,03/31/22,812,28,29.0,-8.758620689655169
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,230,10,23.0,-8.826086956521744
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,575,25,23.0,-8.826086956521744
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,230,10,23.0,-8.826086956521744
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,"1,150",50,23.0,-8.913043478260873
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,337.50,15,22.5,-8.977777777777776
Masterworks 060,Chu Teh-Chun,Atmosphere Hivernale,20.0,0,0,109.95,5,21.99,-9.049567985447924
Masterworks 062,Gerhard Richter,Abstraktes Bild (908-8),20.0,0,0,109.95,5,21.99,-9.049567985447924
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"1,649.25",75,21.99,-9.049567985447924
Masterworks 063,Yayoi Kusama,Infinity Nets,20.0,0,0,109.95,5,21.99,-9.049567985447924
Masterworks 052,Albert Oehlen,Stillebin mit Ingwertopf (Still Life with Ginger Pot),20.0,0,0,329.85,15,21.99,-9.049567985447924
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,562.50,25,22.5,-9.066666666666663
Masterworks 052,Albert Oehlen,Stillebin mit Ingwertopf (Still Life with Ginger Pot),20.0,0,0,"8,250",375,22.0,-9.090909090909092
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"2,200",100,22.0,-9.090909090909092
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"4,400",200,22.0,-9.090909090909092
Masterworks 060,Chu Teh-Chun,Atmosphere Hivernale,20.0,0,0,110,5,22.0,-9.090909090909092
Masterworks 052,Albert Oehlen,Stillebin mit Ingwertopf (Still Life with Ginger Pot),20.0,0,0,110,5,22.0,-9.090909090909092
Masterworks 063,Yayoi Kusama,Infinity Nets,20.0,0,0,"1,100",50,22.0,-9.090909090909092
Masterworks 062,Gerhard Richter,Abstraktes Bild (908-8),20.0,0,0,330,15,22.0,-9.090909090909092
Masterworks 053,Christopher Wool,Untitled,20.0,0,0,550,25,22.0,-9.090909090909092
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,44,2,22.0,-9.090909090909092
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"2,200",100,22.0,-9.090909090909092
Masterworks 060,Chu Teh-Chun,Atmosphere Hivernale,20.0,0,0,220,10,22.0,-9.090909090909092
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,550,25,22.0,-9.090909090909092
