Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,575,5,115.0,-81.1304347826087
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"2,222.20",20,111.11,-81.58581585815858
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,975,5,195.0,-82.68205128205128
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"147,000","1,225",120.0,-83.33333333333334
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"7,500",50,150.0,-83.67999999999999
Masterworks 051,Sam Gilliam,Reaching,19.79,-1.1%,03/31/22,903,7,129.0,-84.65891472868218
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,"3,892",28,139.0,-84.89928057553956
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"1,248.50",5,249.7,-91.07729275130157
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"1,250",5,250.0,-91.08800000000001
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,"5,250",21,250.0,-91.62
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"12,000",30,400.0,-94.43
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"4,800",8,600.0,-96.28666666666668
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,"13,320",20,666.0,-96.32132132132132
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"9,990",10,999.0,-97.68468468468468
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"5,000",5,1000.0,-97.687
Masterworks 053,Christopher Wool,Untitled,20.0,0,0,"417,360",470,888.0,-97.74774774774775
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"9,990",10,999.0,-97.82782782782782
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,"13,500",3,4500.0,-99.54488888888889
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"25,000",5,5000.0,-99.5908
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"75,000",5,15000.0,-99.8636
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,"3,000,000",10,300000.0,-99.98874333333333
