Artist,Artwork,Investment Name,Total,Quantity,Ask
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,114.75,5,22.95
 Claude Monet,Coup de vent ,Masterworks 002,700,20,35
 Claude Monet,Coup de vent ,Masterworks 002,"2,000",50,40
 Yayoi Kusama,Untitled ,Masterworks 056,"1,250",50,25
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,"1,120",40,28
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,300,10,30
 George Condo,Gargantua ,Masterworks 025,132.45,5,26.49
 Joan Mitchell,Rhubarb ,Masterworks 014,220,10,22
 Claude Monet,Coup de vent ,Masterworks 002,"1,248.50",5,249.70
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,216,9,24
 George Condo,Gargantua ,Masterworks 025,"2,504.20",95,26.36
 George Condo,Gargantua ,Masterworks 025,"1,318",50,26.36
 George Condo,Gargantua ,Masterworks 025,527.20,20,26.36
 George Condo,Gargantua ,Masterworks 025,474.48,18,26.36
 Joan Mitchell,Rhubarb ,Masterworks 014,"14,440",500,28.88
 Gunther Uecker,Weisses Feld ,Masterworks 031,"15,615",500,31.23
 Andy Warhol,Little Electric Chair ,Masterworks 017,140,5,28
 Zao Wou-Ki,15.6.64 ,Masterworks 019,235,5,47
 Keith Haring,Untitled ,Masterworks 018,310,5,62
 Andy Warhol,Little Electric Chair ,Masterworks 017,300,5,60
 Joan Mitchell,Rhubarb ,Masterworks 014,310,5,62
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,260,5,52
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,290,5,58
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,290,5,58
 Jonas Wood,Hammer 5 ,Masterworks 004,275,5,55
 Claude Monet,Coup de vent ,Masterworks 002,280,5,56
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,285,5,57
 Joan Mitchell,Rhubarb ,Masterworks 014,"5,720",250,22.88
 Jean-Michel Basquiat,Loin ,Masterworks 030,"5,720",250,22.88
 George Condo,Gargantua ,Masterworks 025,137.50,5,27.50
 Joan Mitchell,Rhubarb ,Masterworks 014,370.65,15,24.71
 George Condo,Listening to Voices ,Masterworks 047,135,5,27
 George Condo,Listening to Voices ,Masterworks 047,135,5,27
 George Condo,Listening to Voices ,Masterworks 047,270,10,27
 George Condo,Listening to Voices ,Masterworks 047,137.50,5,27.50
 George Condo,Listening to Voices ,Masterworks 047,137.50,5,27.50
 George Condo,Listening to Voices ,Masterworks 047,135,5,27
 George Condo,Listening to Voices ,Masterworks 047,135,5,27
 George Condo,Listening to Voices ,Masterworks 047,130,5,26
 George Condo,Listening to Voices ,Masterworks 047,780,30,26
 George Condo,Gargantua ,Masterworks 025,"1,800",45,40
 George Condo,Gargantua ,Masterworks 025,"1,240",40,31
 George Condo,Gargantua ,Masterworks 025,"1,160",40,29
 George Condo,The Age of Reason ,Masterworks 029,800,25,32
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,300,10,30
 Keith Haring,Untitled ,Masterworks 018,150,5,30
 Jonas Wood,Hammer 5 ,Masterworks 004,"1,500",50,30
 Andy Warhol,Little Electric Chair ,Masterworks 017,"2,531.25",125,20.25
 George Condo,Listening to Voices ,Masterworks 047,750,25,30
 Banksy,Monkey Poison ,Masterworks 015,"25,245",540,46.75
 Gunther Forg,Untitled ,Masterworks 020,132.50,5,26.50
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,248.50,5,49.70
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,248.50,5,49.70
 George Condo,The Age of Reason ,Masterworks 029,"12,000",500,24
 Joan Mitchell,Rhubarb ,Masterworks 014,"6,000",250,24
 Andy Warhol,Little Electric Chair ,Masterworks 017,500,25,20
 Joan Mitchell,Rhubarb ,Masterworks 014,550,25,22
 Keith Haring,Untitled ,Masterworks 018,"1,721.25",85,20.25
 Yayoi Kusama,Pumpkin ,Masterworks 038,115,5,23
 Yayoi Kusama,Pumpkin ,Masterworks 038,600,25,24
 Agnes Martin,Untitled #1 ,Masterworks 021,"9,338",406,23
 Gunther Forg,Untitled ,Masterworks 048,248.50,5,49.70
 Gerhard Richter,Ziege ,Masterworks 041,248.50,5,49.70
 Yayoi Kusama,Pumpkin ,Masterworks 038,248.50,5,49.70
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,248.50,5,49.70
 George Condo,The Age of Reason ,Masterworks 029,248.50,5,49.70
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,248.50,5,49.70
 Zao Wou-Ki,15.6.64 ,Masterworks 019,248.50,5,49.70
 Keith Haring,Untitled ,Masterworks 018,248.50,5,49.70
 Andy Warhol,Little Electric Chair ,Masterworks 017,248.50,5,49.70
 Alex Katz,Maxine ,Masterworks 005,248.50,5,49.70
 George Condo,Listening to Voices ,Masterworks 047,248.50,5,49.70
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,248.50,5,49.70
 Gunther Uecker,Weisses Feld ,Masterworks 031,248.50,5,49.70
 Cecily Brown,Girl Trouble ,Masterworks 007,248.50,5,49.70
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,248.50,5,49.70
 Banksy,Monkey Poison ,Masterworks 015,320,5,64
 Keith Haring,Untitled ,Masterworks 018,932.40,45,20.72
 Keith Haring,Untitled ,Masterworks 043,"2,400",100,24
 Alex Katz,Maxine ,Masterworks 005,"2,900",100,29
 Andy Warhol,Little Electric Chair ,Masterworks 017,105,5,21
 Cecily Brown,Lured ,Masterworks 022,528.20,19,27.80
 George Condo,Gargantua ,Masterworks 025,560,20,28
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,"1,100",50,22
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,220,10,22
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,248.50,5,49.70
 Banksy,Monkey Poison ,Masterworks 015,320,5,64
 Keith Haring,Untitled ,Masterworks 018,932.40,45,20.72
 Keith Haring,Untitled ,Masterworks 043,"2,400",100,24
 Alex Katz,Maxine ,Masterworks 005,"2,900",100,29
 Andy Warhol,Little Electric Chair ,Masterworks 017,105,5,21
 Cecily Brown,Lured ,Masterworks 022,528.20,19,27.80
 George Condo,Gargantua ,Masterworks 025,560,20,28
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,"1,100",50,22
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,220,10,22
 Keith Haring,Untitled ,Masterworks 018,250,10,25
 Keith Haring,Untitled ,Masterworks 018,420,15,28
 George Condo,Listening to Voices ,Masterworks 047,160,5,32
 George Condo,Listening to Voices ,Masterworks 047,300,10,30
 Keith Haring,Untitled ,Masterworks 043,110,5,22
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,110,5,22
 Gerhard Richter,Ziege ,Masterworks 041,110,5,22
 Keith Haring,Untitled ,Masterworks 037,110,5,22
 Keith Haring,Untitled ,Masterworks 018,110,5,22
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,110,5,22
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,120,5,24
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,110,5,22
 Gerhard Richter,Ziege ,Masterworks 041,120,5,24
 Gerhard Richter,Ziege ,Masterworks 041,110,5,22
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,120,5,24
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,110,5,22
 Claude Monet,Coup de vent ,Masterworks 002,"2,600",26,100
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,550,25,22
 Keith Haring,Untitled ,Masterworks 043,200,8,25
 Gerhard Richter,Ziege ,Masterworks 041,200,8,25
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,111.25,5,22.25
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,550,25,22
 Keith Haring,Untitled ,Masterworks 037,110,5,22
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"5,850",225,26
 Joan Mitchell,Rhubarb ,Masterworks 014,"5,460",182,30
 Mark Bradford,Value 47 ,Masterworks 039,"15,000",500,30
 Mark Bradford,Value 47 ,Masterworks 039,"7,000",250,28
 Carmen Herrera,Green and Orange ,Masterworks 046,"14,000",500,28
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,"14,000",500,28
 George Condo,Gargantua ,Masterworks 025,142.50,5,28.50
 Alex Katz,Maxine ,Masterworks 005,110,5,22
 Joan Mitchell,Rhubarb ,Masterworks 014,138,6,23
 Andy Warhol,Little Electric Chair ,Masterworks 017,939.53,47,19.99
 Keith Haring,Untitled ,Masterworks 043,105,5,21
 Claude Monet,Coup de vent ,Masterworks 002,180,5,36
 Joan Mitchell,Rhubarb ,Masterworks 014,375,15,25
 Gunther Forg,Untitled ,Masterworks 009,"7,500",250,30
 Jean-Michel Basquiat,Loin ,Masterworks 030,"1,250",50,25
 Cecily Brown,Lured ,Masterworks 022,"3,500",125,28
 Gerhard Richter,Ziege ,Masterworks 041,"2,750",125,22
 Agnes Martin,Untitled #1 ,Masterworks 021,"3,000",125,24
 Gerhard Richter,Ziege ,Masterworks 041,210,10,21
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,210,10,21
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,000",20,50
 Christopher Wool,Lazy and Stupid ,Masterworks 024,"2,000",100,20
 Keith Haring,Untitled ,Masterworks 018,"1,030",50,20.60
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,125",50,22.50
 Claude Monet,Coup de vent ,Masterworks 002,500,5,100
 Yayoi Kusama,Pumpkin ,Masterworks 038,140,5,28
 Keith Haring,Untitled ,Masterworks 037,160.60,5,32.12
 Yayoi Kusama,Pumpkin ,Masterworks 038,160.60,5,32.12
 Mark Bradford,Value 47 ,Masterworks 039,160.60,5,32.12
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,160.60,5,32.12
 Gerhard Richter,Ziege ,Masterworks 041,160.60,5,32.12
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,160.60,5,32.12
 Gunther Forg,Untitled ,Masterworks 048,160.60,5,32.12
 Cecily Brown,Lured ,Masterworks 022,140.75,5,28.15
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,"1,500",50,30
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,750,25,30
 Gerhard Richter,Ziege ,Masterworks 041,518.50,25,20.74
 Jean-Michel Basquiat,Loin ,Masterworks 030,200,5,40
 George Condo,The Age of Reason ,Masterworks 029,400,10,40
 Gunther Forg,Untitled ,Masterworks 023,350,10,35
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,"5,500",250,22
 Andy Warhol,Little Electric Chair ,Masterworks 017,"5,500",250,22
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,"1,250",50,25
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"1,050",50,21
 Joan Mitchell,Rhubarb ,Masterworks 014,"5,625",250,22.50
 Alex Katz,Grey Ribbon ,Masterworks 035,"12,500",500,25
 Andy Warhol,Little Electric Chair ,Masterworks 017,500,5,100
 Andy Warhol,Little Electric Chair ,Masterworks 017,500,5,100
